rank,player_name,age,points,n_tournaments,diff_rank_three
473,Eric Vanshelboim,24,94,27,5066
474,Carlos Lopez Montagud,25,94,28,5066
475,Takuya Kumasaka,27,93,24,5067
476,Filip Peliwo,31,93,33,5067
477,Pedro Vives Marcos,24,92,11,5068
478,Filippo Moroni,24,92,15,5068
479,Lukas Pokorny,23,92,19,5068
480,Nikolay Vylegzhanin,25,92,25,5068
481,Laurent Lokoli,31,91,15,5069
482,Eero Vasa,28,91,26,5069
483,Mirza Basic,34,90,16,5070
484,Edward Winter,21,90,19,5070
485,Pietro Fellin,24,90,23,5070
486,Tsung-Hao Huang,26,90,26,5070
487,Tadeas Paroulek,25,90,27,5070
488,Soonwoo Kwon,28,89,8,5071
489,Yan Bai,36,89,13,5071
490,Alexander Weis,28,89,24,5071
491,Branko Djuric,20,89,27,5071
492,Jack Loge,21,89,30,5071
493,Blaise Bicknell,24,88,20,5072
494,Joao Eduardo Schiessl,21,88,23,5072
495,Cyril Vandermeersch,26,88,25,5072
496,Vladyslav Orlov,30,88,29,5072
497,Lui Maxted,22,87,10,5073
498,Aristotelis Thanos,24,87,17,5073
499,Tibo Colson,25,87,22,5073
500,Alexander Ritschard,31,86,12,5074
501,Bor Artnak,21,86,16,5074
502,Tristan McCormick,26,86,32,5074
503,Sean Cuenin,21,85,21,5075
504,Alex Marti Pujolras,26,85,23,5075
505,Maxime Janvier,29,85,26,5075
506,Stefan Palosi,25,85,27,5075
507,Matthew Dellavedova,25,85,33,5075
508,Nicolas Arseneault,18,84,20,5076
509,Oriol Roca Batalla,32,84,15,5076
510,Tommaso Compagnucci,26,84,26,5076
511,Ryan Nijboer,26,84,30,5076
512,Dominik Koepfer,31,83,6,5077
513,Henry Bernet,18,83,11,5077
514,Blake Ellis,26,83,11,5077
515,Andrea Guerrieri,27,83,15,5077
516,Egor Agafonov,23,83,19,5077
517,Renzo Olivo,33,82,19,5078
518,Thomas Faurel,19,82,24,5078
519,Stefan Adrian Andreescu,23,82,30,5078
520,Gregoire Barrere,31,81,14,5079
521,Daniel Masur,31,80,16,5080
522,Philip Sekulic,22,80,17,5080
523,Mukund Sasikumar,28,80,23,5080
524,Dhakshineswar Suresh,25,79,12,5081
525,Carl Emil Overbeck,24,78,14,5082
526,Ryuki Matsuda,25,78,22,5082
527,Sergio Callejon Hernando,21,78,24,5082
528,Oleksandr Ovcharenko,24,78,25,5082
529,Alberto Barroso Campos,29,78,28,5082
530,Bruno Kuzuhara,21,78,29,5082
531,Sebastian Gima,23,78,32,5082
532,Khumoyun Sultanov,27,77,17,5083
533,Tristan Lamasine,32,76,17,5084
534,Leo Borg,22,76,22,5084
535,Ivan Marrero Curbelo,27,76,22,5084
536,Dennis Novak,32,76,22,5084
537,Masamichi Imamura,27,76,26,5084
538,Stefan Popovic,22,76,35,5084
539,Cannon Kingsley,24,75,20,5085
540,Oleksii Krutykh,25,75,21,5085
541,Peter Fajta,23,75,21,5085
542,Gabriele Pennaforti,25,75,25,5085
543,Fares Zakaria,24,75,25,5085
544,Kokoro Isomura,22,75,30,5085
545,Yuki Mochizuki,28,74,18,5086
546,Maximilian Neuchrist,34,74,20,5086
547,Aleksandre Bakshi,28,74,23,5086
548,Nino Ehrenschneider,24,74,26,5086
549,Emil Ruusuvuori,26,73,19,5087
550,Valerio Aboian,23,73,15,5087
551,Ergi Kirkin,26,72,18,5088
552,Johan Nikles,28,72,21,5088
553,Lucas Pouille,31,71,4,5089
554,Govind Nanda,24,71,14,5089
555,Elmar Ejupovic,32,71,14,5089
556,Karue Sell,32,71,15,5089
557,Dominik Palan,25,71,21,5089
558,Maxwell Mckennon,23,71,23,5089
559,Georgii Kravchenko,25,71,24,5089
560,Woobin Shin,21,71,26,5089
561,Igor Gimenez,25,71,28,5089
562,Amr Elsayed,26,71,29,5089
563,Max Hans Rehberg,22,70,8,5090
564,Justin Boulais,24,70,21,5090
565,Tomasz Berkieta,19,70,23,5090
566,Sebastian Sorger,19,70,24,5090
567,Dominik Kellovsky,29,70,24,5090
568,Pavle Marinkov,19,70,26,5090
569,Paulo Andre Saraiva Dos Santos,25,70,26,5090
570,Dusan Obradovic,24,69,26,5091
571,Kirill Kivattsev,28,69,33,5091
572,Taha Baadi,24,68,27,5092
573,Alafia Ayeni,26,67,19,5093
